aqi,city,co,date,level,no2,o3_8h,pm10,pm25,so2
137,北京,0.9,2014-04-01,轻度污染,60,125,117,104,17
54,北京,0.8,2014-03-01,良,48,70,57,38,23
81,北京,1.5,2014-01-01,良,62,52,111,45,28
130,北京,1,2014-04-02,轻度污染,58,135,159,99,21
65,北京,0.5,2014-04-03,良,36,93,80,23,6
178,北京,2.6,2014-03-02,中度污染,93,40,165,135,60
268,北京,4.2,2014-03-03,重度污染,102,18,248,218,96
77,北京,1.3,2014-03-04,良,40,74,78,57,27
35,北京,0.8,2014-03-05,优,35,66,35,20,16
39,北京,0.6,2014-03-06,优,29,77,28,16,14
66,北京,1.1,2014-03-07,良,53,65,72,48,26
145,北京,3.4,2014-01-02,轻度污染,93,14,168,111,69
74,北京,1.3,2014-01-03,良,52,56,98,47,29
149,北京,2.8,2014-01-04,轻度污染,75,14,147,114,40
119,北京,2.3,2014-01-05,轻度污染,67,44,117,91,36
182,北京,2.4,2014-01-06,中度污染,68,12,158,138,46
145,北京,2,2014-01-07,轻度污染,60,43,125,111,34
91,北京,0.6,2014-04-04,良,40,100,132,32,8
65,北京,0.4,2014-04-05,良,29,100,80,22,6
96,北京,0.7,2014-04-06,良,58,109,143,53,12
128,北京,0.8,2014-04-07,轻度污染,62,144,176,97,20
224,北京,1.5,2014-04-08,重度污染,82,184,237,174,38
159,北京,0.9,2014-04-09,中度污染,50,145,239,121,19
172,北京,2.3,2014-03-08,中度污染,92,38,166,131,68
124,北京,1.6,2014-03-09,轻度污染,68,72,118,94,45
107,北京,1.7,2014-03-10,轻度污染,72,45,101,81,53
27,北京,0.5,2014-01-08,优,21,53,25,15,13
46,北京,0.8,2014-01-09,优,35,53,46,27,19
85,北京,1.9,2014-01-10,良,71,19,94,63,53
139,北京,2.8,2014-01-11,轻度污染,90,11,128,106,76
47,北京,0.7,2014-01-12,优,39,59,47,27,27
109,北京,2.3,2014-01-13,轻度污染,78,20,107,82,67
251,北京,1.3,2014-04-10,重度污染,52,94,386,87,27
81,北京,1,2014-04-11,良,60,94,112,60,17
131,北京,1.4,2014-04-12,轻度污染,75,136,136,100,25
207,北京,1.3,2014-04-13,重度污染,71,194,190,157,25
279,北京,1.9,2014-04-14,重度污染,79,188,263,229,33
120,北京,1,2014-04-15,轻度污染,61,130,142,91,16
142,北京,2.6,2013-12-02,轻度污染,88,11,138,109,61
205,北京,2.4,2014-03-11,重度污染,80,68,196,155,76
41,北京,0.4,2014-03-12,优,26,82,23,11,9
62,北京,0.6,2014-03-13,良,37,77,75,20,14
64,北京,0.5,2014-03-14,良,31,86,79,21,13
124,北京,1.5,2014-03-15,轻度污染,89,61,173,94,43
148,北京,2.1,2014-03-16,轻度污染,72,97,198,113,76
108,北京,2.4,2014-01-14,轻度污染,74,24,108,82,68
125,北京,2.7,2014-01-15,轻度污染,84,18,117,95,66
402,北京,4.6,2014-01-16,严重污染,123,20,384,353,109
215,北京,2.4,2014-01-17,重度污染,76,30,194,165,67
99,北京,1.5,2014-01-18,良,61,36,81,74,42
151,北京,2.5,2014-01-19,中度污染,72,41,186,115,71
